NAME,LONG,x_long,LAT,y_lat,kaBP,LIT,TYP
Kalombo Fälle,31°14'E,"31,233333",8°35'S,"-8,583333",62,Clark/Van Zinderen Bakker 1964,fluviatil/alluvial
Karonga,33°55'E,"33,916667",9°56'S,"-9,933333",11,Van Zinderen Bakker 1969,fluviatil/alluvial
Mbari,23°E,23,5°N,5,8,Runge 2002,fluviatil/alluvial
Mbaéré & Sadika,17°E,17,3°N,"3,63",7,Neumer 2007,fluviatil/alluvial
Ruki Gegend,19-24°E,"19,5",0-2°S,"-0,5",42,Preuss 1986; 1986a;; 1990,fluviatil/alluvial
Lupembashi Tal,27°E,27,11°S,11,,Alexandre et al. 1994,fluviatil/alluvial
Luembe,21°E,21,7°S,7,38,Van Zinderen Bakker/Clark 1962,fluviatil/alluvial
Malebo Pool,15°29'E,"15,483333",4°16'S,"-4,266667",42,De Ploey 1964; 1965; 1968,fluviatil/alluvial
Kouilou,11°45'E,"11,75",4°25'S,"-4,416667",35,Moguedet et al. 1986,fluviatil/alluvial
Margol,13°E,13,7°N,7,32,Van Zinderen Bakker 1969,fluviatil/alluvial
Gongala,11°30'E,"11,5",10°N,10,"3,5",Moldenhauer 2005,fluviatil/alluvial
N'Gell,8°E,8,9°N,9,18,Zeese 1991,fluviatil/alluvial
Komadugu Yobe,12°E,12,12°30'N,"12,5",13,Gumnior 2005,fluviatil/alluvial
Niantin,0°45'E,"0,75",9°30'N,"9,5","0,25",Runge/Tchamié 2000,fluviatil/alluvial
Birim,1°W,-1,5°N,5,13,Hall et al. 1985,fluviatil/alluvial
Yamé,3°W,-3,13°N,13,62,Lespez et al. 2008,fluviatil/alluvial
