Ort,Kat-Nr,X,Y,TYP
Bobusa (Fpl. 239),239,16.917098,-1.052349,MBA
Gombe (Fpl. 237),237,17.580406,-0.704069,MBA
Lukolela (Fpl. 234),234,17.175593,-1.062185,MBA
Maberu (Fpl. 235),235,17.257014,-1.069018,MBA
Sungu (Fpl. 236),236,17.334786,-1.033313,MBA
Bojenjo (Fpl. 292),292,17.432057,-0.006791,MBA (?)
Bolumbu (Fpl. 194),194,17.882294,0.677829,MBA (?)
Boyenge (Fpl. 284),284,17.199855,-0.835253,MBA (?)
Ebambe (Fpl. 297),297,17.394327,0.289744,MBA (?)
Sosolo (Fpl. 241),241,17.128605,-0.892241,MBA (?)
Zamba (Fpl. 191),191,17.884584,0.271798,MBA (?)
